Event No	Video Second	Player	PlayerTo	Event Type	Event Result	Time (s)	Clock (s)	Touches	Frames	x	y	x (m)	y (m)	x End	y End	x End (m)	y End (m)	Distance (m)	Speed (s)	Event Result Ni	xPressure
1	7	Olivier Giroud	Mesut Özil	Pass	Successful	0.4	0.4	1	5	49.6	50.5	52.1	34.4	49.0	53.2	51.5	36.1	1.9	4.7	1	0.05
2	7	Mesut Özil	Santiago Cazorla	Pass	Successful	1.1	1.5	1	13	49.0	53.2	51.5	36.1	39.5	44.7	41.4	30.4	11.6	10.5	1	0.05
3	9	Santiago Cazorla		Control	Successful	0.7	2.2	1	8	39.5	44.7	41.4	30.4	39.5	44.7	41.4	30.4	0.0	0.0	1	0.2
4	9	Santiago Cazorla	Francis Coquelin	Pass	Successful	0.8	3	1	10	39.5	44.7	41.4	30.4	38.8	65.5	40.7	44.6	14.2	17.7	1	0.2
5	10	Francis Coquelin	Gabriel	Pass	Successful	1.5	4.5	1	18	38.8	65.5	40.7	44.6	27.1	71.3	28.5	48.5	12.8	8.5	1	0.2
6	13	Gabriel		Control	Successful	1.3	5.8	1	16	27.1	71.3	28.5	48.5	27.0	70.3	28.3	47.8	0.7	0.6	1	0.2
7	13	Gabriel	Nacho Monreal	Pass	Successful	1.9	7.7	1	23	27.0	70.3	28.3	47.8	43.4	96.8	45.6	65.9	25.0	13.1	1	0.1
8	16	Nacho Monreal		Control	Successful	1.4	9.1	1	17	43.4	96.8	45.6	65.9	42.7	99.2	44.8	67.5	1.8	1.3	1	0.3125
9	16	Nacho Monreal	Gabriel	Pass	Successful	2.3	11.4	1	28	42.7	99.2	44.8	67.5	20.5	97.9	21.6	66.6	23.3	10.1	1	0.1125
10	18	Gabriel	Petr Cech	Pass	Successful	2	13.4	1	24	20.5	97.9	21.6	66.6	5.7	65.0	6.0	44.2	27.2	13.6	1	0.3
11	20	Petr Cech	Dejan Lovren	Pass	Unsuccessful	2.6	16	1	31	5.7	65.0	6.0	44.2	48.8	45.5	51.2	31.0	47.1	18.1	0	0
12	23	Dejan Lovren	Emre Can	Pass	Successful	1.9	17.9	1	23	48.8	45.5	51.2	31.0	40.9	38.7	42.9	26.3	9.5	5.0	1	0.1125
13	25	Emre Can	Dejan Lovren	Pass	Successful	1.4	19.3	1	17	40.9	38.7	42.9	26.3	53.2	32.6	55.9	22.2	13.6	9.7	1	0.1625
14	26	Dejan Lovren		Pass	Unsuccessful	1.9	21.2	1	23	53.2	32.6	55.9	22.2	38.0	17.6	39.9	12.0	18.9	10.0	0	0.375
15	28	Héctor Bellerín	Aaron Ramsey	Pass	Successful	1.1	22.3	1	13	38.0	17.6	39.9	12.0	47.5	20.8	49.9	14.1	10.2	9.2	1	0.05
16	30	Aaron Ramsey		Control	Successful	1	23.3	1	12	47.5	20.8	49.9	14.1	52.5	25.0	55.1	17.0	6.0	6.0	1	0.125
17	30	Aaron Ramsey	Olivier Giroud	Pass	Successful	1.8	25.1	1	22	52.5	25.0	55.1	17.0	66.4	11.1	69.8	7.5	17.4	9.7	1	0.2875
18	33	Olivier Giroud		Control	Successful	1.6	26.7	1	19	66.4	11.1	69.8	7.5	71.6	16.8	75.2	11.5	6.7	4.2	1	0.525
19	34	Olivier Giroud		Pass	Unsuccessful	1.6	28.3	1	19	71.6	16.8	75.2	11.5	77.3	46.8	81.2	31.9	21.3	13.3	0	0.4375
20	35	Nathaniel Clyne	James Milner	Pass	Successful	2	30.3	1	24	77.3	46.8	81.2	31.9	71.1	51.3	74.6	34.9	7.2	3.6	1	0.225
21	37	James Milner	Roberto Firmino	Pass	Successful	1.7	32	1	20	71.1	51.3	74.6	34.9	64.3	58.4	67.5	39.7	8.6	5.1	1	0.5
