EventNo	x	y	yReversed	Player	Type	x_m	y_m	DistanceFromBall	Speed (m/s)	TimeToBall (s)	Man in Possession	Pressure Lookup	TeamOnBall	Oppositoin xPressure	Count	Team	Position	Notes	Prior x (m)	Prior y (m)	Distance (m)	Speed (m/s)	Direction	Data Complete?
1	49.6	49.5	50.5	Ball	Ball	52.1	33.6								1				0.0	0.0				1
1	49.8	50.0	50.0	Olivier Giroud	Arsenal	52.3	34.0	0.4	3.7	0.1	1		1	0.000	1	Arsenal	FWC		0.0	0.0				1
1	49.1	46.8	53.2	Mesut Özil	Arsenal	51.6	31.9	1.9	3.7	0.5	0	0.400	1	0.000	2	Arsenal	AMC		0.0	0.0				1
1	49.3	31.3	68.7	Alexis Sánchez	Arsenal	51.8	21.3	12.4	3.7	2.2	0	0.000	1	0.000	3	Arsenal	AML		0.0	0.0				1
1	48.8	84.7	15.3	Aaron Ramsey	Arsenal	51.2	57.6	24.0	3.7	3.9	0	0.000	1	0.000	4	Arsenal	AMR		0.0	0.0				1
1	39.8	14.2	85.8	Nacho Monreal	Arsenal	41.8	9.7	26.1	3.7	4.2	0	0.000	1	0.000	5	Arsenal	LB		0.0	0.0				1
1	40.0	34.5	65.5	Francis Coquelin	Arsenal	42.0	23.4	14.4	3.7	2.5	0	0.000	1	0.000	6	Arsenal	CMR		0.0	0.0				1
1	38.2	50.8	49.2	Santiago Cazorla	Arsenal	40.1	34.5	12.0	3.7	2.2	0	0.000	1	0.000	7	Arsenal	CML		0.0	0.0				1
1	33.2	40.8	59.2	Gabriel	Arsenal	34.9	27.7	18.2	3.7	3.1	0	0.000	1	0.000	8	Arsenal	CBL		0.0	0.0				1
1	33.0	55.0	45.0	Calum Chambers	Arsenal	34.7	37.4	17.8	3.7	3.0	0	0.000	1	0.000	9	Arsenal	CBR		0.0	0.0				1
1	37.9	75.3	24.7	Héctor Bellerín	Arsenal	39.8	51.2	21.5	3.7	3.5	0	0.000	1	0.000	10	Arsenal	RB		0.0	0.0				1
1	12.1	48.2	51.8	Petr Cech	Arsenal	12.7	32.7	39.4	3.7	6.1	0	0.000	1	0.000	11	Arsenal	GK	GK Not in View	0.0	0.0				1
1	50.0	65.5	34.5	Christian Benteke	Liverpool	52.5	44.6	10.9	3.7	2.0	0	0.000	0	0.000	1	Liverpool	FWC		0.0	0.0				1
1	50.5	66.8	33.2	Philippe Coutinho	Liverpool	53.1	45.5	11.8	3.7	2.2	0	0.000	0	0.000	2	Liverpool	AML		0.0	0.0				1
1	57.9	53.7	46.3	Emre Can	Liverpool	60.8	36.5	9.1	3.7	1.8	0	0.013	0	0.013	3	Liverpool	CML		0.0	0.0				1
1	52.3	36.6	63.4	James Milner	Liverpool	54.9	24.9	9.2	3.7	1.8	0	0.013	0	0.013	4	Liverpool	CMR		0.0	0.0				1
